trip_id,stop_id,trip_date,arrival_delay,route_id,sch_arrival_time,sch_departure_time,stop_sequence,stop_name,stop_lat,stop_lon,arrival_time,departure_delay,departure_time
13276633,115,12-05-2022,-114,6612,1670234573,1670234573,20,Westbound W 16 Ave @ Mackenzie St,49.257839,-123.170777,1670234459,-114,1670234459
13276188,128,11-30-2022,-1844,6612,1669827229,1669827229,25,Southbound Mackenzie St @ W 33 Ave,49.241997,-123.170345,1669825385,-1844,1669825385
13276188,128,11-30-2022,-1844,6612,1669827229,1669827229,25,Southbound Mackenzie St @ W 33 Ave,49.241997,-123.170345,1669825385,-1844,1669825385
13276188,128,11-30-2022,-1844,6612,1669827229,1669827229,25,Southbound Mackenzie St @ W 33 Ave,49.241997,-123.170345,1669825385,-1844,1669825385
13276188,128,11-30-2022,-1844,6612,1669827229,1669827229,25,Southbound Mackenzie St @ W 33 Ave,49.241997,-123.170345,1669825385,-1844,1669825385
13276188,128,11-30-2022,-1844,6612,1669827229,1669827229,25,Southbound Mackenzie St @ W 33 Ave,49.241997,-123.170345,1669825385,-1844,1669825385
13276188,128,11-30-2022,-1844,6612,1669827229,1669827229,25,Southbound Mackenzie St @ W 33 Ave,49.241997,-123.170345,1669825385,-1844,1669825385
13276188,128,11-30-2022,-1844,6612,1669827229,1669827229,25,Southbound Mackenzie St @ W 33 Ave,49.241997,-123.170345,1669825385,-1844,1669825385
13276151,124,12-02-2022,-147,6612,1670001496,1670001496,23,Southbound Quesnel Dr @ W King Edward Ave,49.249603,-123.171914,1670001349,-147,1670001349
13276123,296,11-29-2022,-113,6612,1669734384,1669734384,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1669734271,-113,1669734271
13276123,296,12-06-2022,-129,6612,1670339184,1670339184,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1670339055,-129,1670339055
13276123,296,12-07-2022,-122,6612,1670425584,1670425584,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1670425462,-122,1670425462
13276157,130,11-25-2022,-199,6612,1669405681,1669405681,26,Southbound Mackenzie St @ W 37 Ave,49.238254,-123.170377,1669405482,-199,1669405482
13276189,296,12-08-2022,-114,6612,1670532715,1670532715,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1670532601,-114,1670532601
13276197,105,12-05-2022,-189,6612,1670264018,1670264018,11,Westbound Cornwall Ave @ Point Grey Rd,49.272731,-123.160216,1670263829,-189,1670263829
13276172,107,11-28-2022,-161,6612,1669657815,1669657815,13,Southbound Macdonald St @ W 1st Ave,49.270753,-123.168323,1669657654,-161,1669657654
13276123,296,11-24-2022,-151,6612,1669302385,1669302385,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1669302234,-151,1669302234
13276123,296,12-01-2022,-115,6612,1669907184,1669907184,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1669907069,-115,1669907069
13276123,296,11-25-2022,-122,6612,1669388785,1669388785,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1669388663,-122,1669388663
13276657,646,12-05-2022,-178,6612,1670227680,1670227680,31,Dunbar Loop @ Bay 2,49.234593,-123.18575,1670227502,-178,1670227502
13276633,115,11-28-2022,-126,6612,1669629773,1669629773,20,Westbound W 16 Ave @ Mackenzie St,49.257839,-123.170777,1669629647,-126,1669629647
13276585,111,12-04-2022,-138,6612,1670186281,1670186281,17,Southbound Macdonald St @ W 11 Ave,49.261885,-123.16835,1670186143,-138,1670186143
13276659,124,12-05-2022,-113,6612,1670231937,1670231937,23,Southbound Quesnel Dr @ W King Edward Ave,49.249603,-123.171914,1670231824,-113,1670231824
13276170,114,12-02-2022,-276,6612,1670020119,1670020119,19,Westbound W 16 Ave @ Macdonald St,49.257816,-123.168896,1670019843,-276,1670019843
13339278,112,12-04-2022,-403,6612,1670145623,1670145623,18,Southbound Macdonald St @ W 13 Ave,49.260226,-123.168421,1670145220,-403,1670145220
